SRR,source_name,cell type,treatment
SRR14183630,immortalized mouse myoblasts,C2C12,siRNA Control (Luciferase)
SRR14183631,immortalized mouse myoblasts,C2C12,siRNA Control (Luciferase)
SRR14183632,immortalized mouse myoblasts,C2C12,siRNA Control (Luciferase)
SRR14183633,immortalized mouse myoblasts,C2C12,siRNA mouse TDP-43
SRR14183634,immortalized mouse myoblasts,C2C12,siRNA mouse TDP-43
SRR14183635,immortalized mouse myoblasts,C2C12,siRNA mouse TDP-43
SRR14183636,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA Control (Luciferase)
SRR14183637,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA Control (Luciferase)
SRR14183638,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA Control (Luciferase)
SRR14183639,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA mouse TDP-43
SRR14183640,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA mouse TDP-43
SRR14183641,Motor Neuron-Like Hybrid Cell Line,NSC34,siRNA mouse TDP-43
